iter	Passed	Remaining
0	8	8473
1	10	5174
2	17	5955
3	19	4947
4	28	5724
5	35	5935
6	37	5325
7	42	5208
8	43	4826
9	45	4521
10	51	4585
11	55	4600
12	62	4719
13	72	5119
14	81	5341
15	94	5823
16	102	5914
17	107	5886
18	111	5739
19	114	5604
20	118	5530
21	120	5352
22	122	5197
23	127	5165
24	127	4990
25	129	4858
26	131	4742
27	133	4628
28	134	4497
29	137	4438
30	139	4365
31	142	4300
32	144	4239
33	151	4294
34	153	4243
35	160	4303
36	166	4343
37	173	4399
38	175	4336
39	177	4261
40	186	4366
41	188	4302
42	189	4228
43	192	4180
44	194	4136
45	196	4082
46	198	4031
47	200	3978
48	202	3938
49	204	3891
50	206	3848
51	208	3805
52	211	3776
53	213	3736
54	215	3698
55	216	3645
56	223	3701
57	226	3679
58	229	3667
59	232	3637
60	233	3601
61	235	3569
62	237	3536
63	243	3564
64	246	3538
65	248	3517
66	251	3496
67	254	3489
68	255	3453
69	258	3431
70	261	3426
71	264	3408
72	270	3437
73	273	3420
74	275	3403
75	278	3387
76	281	3370
77	283	3350
78	285	3325
79	286	3290
80	288	3270
81	291	3262
82	294	3249
83	297	3242
84	300	3237
85	304	3232
86	310	3258
87	312	3241
88	315	3229
89	318	3215
90	321	3208
91	324	3202
92	327	3193
93	329	3178
94	332	3163
95	335	3155
96	337	3145
97	340	3135
98	344	3139
99	347	3124
100	349	3114
101	351	3095
102	359	3127
103	361	3111
104	363	3099
105	370	3123
106	371	3101
107	380	3143
108	383	3136
109	388	3140
110	393	3155
111	397	3155
112	400	3141
113	407	3168
114	412	3172
115	415	3168
116	418	3157
117	423	3166
118	426	3160
119	434	3184
120	437	3177
121	440	3166
122	446	3181
123	447	3161
124	454	3178
125	457	3171
126	462	3177
127	467	3186
128	475	3208
129	480	3217
130	486	3226
131	489	3215
132	491	3206
133	497	3216
134	500	3207
135	502	3194
136	505	3183
137	509	3183
138	512	3176
139	515	3165
140	517	3150
141	518	3135
142	524	3144
143	527	3137
144	534	3150
145	536	3138
146	539	3128
147	541	3117
148	545	3113
149	548	3110
150	552	3105
151	557	3108
152	560	3103
153	562	3089
154	565	3080
155	568	3076
156	571	3069
157	575	3068
158	579	3063
159	581	3055
160	584	3044
161	585	3030
162	587	3017
163	590	3009
164	592	3000
165	599	3010
166	601	3002
167	603	2989
168	606	2980
169	609	2974
170	612	2969
171	616	2967
172	619	2961
173	622	2956
174	625	2947
175	628	2943
176	631	2938
177	634	2929
178	639	2931
179	642	2924
180	645	2919
181	651	2927
182	654	2919
183	656	2912
184	659	2904
185	662	2899
186	665	2891
187	667	2882
188	670	2878
189	673	2871
190	676	2864
191	679	2861
192	682	2853
193	684	2843
194	687	2837
195	692	2841
196	696	2839
197	698	2829
198	702	2828
199	708	2834
200	711	2827
201	717	2835
202	718	2821
203	719	2808
204	722	2802
205	725	2797
206	729	2792
207	731	2786
208	736	2789
209	739	2781
210	741	2773
211	748	2782
212	751	2775
213	757	2780
214	759	2773
215	762	2768
216	766	2766
217	769	2760
218	771	2753
219	774	2744
220	776	2738
221	779	2730
222	781	2723
223	784	2717
224	786	2710
225	789	2705
226	793	2700
227	799	2707
228	804	2708
229	807	2704
230	811	2702
231	814	2696
232	818	2693
233	820	2685
234	822	2677
235	825	2671
236	827	2664
237	838	2685
238	841	2680
239	844	2674
240	847	2669
241	850	2663
242	852	2656
243	856	2654
244	861	2655
245	865	2653
246	870	2652
247	873	2648
248	876	2644
249	880	2642
250	885	2641
251	888	2637
252	891	2633
253	895	2629
254	899	2628
255	902	2623
256	906	2621
257	909	2617
258	913	2613
259	915	2604
260	917	2596
261	920	2593
262	922	2585
263	924	2577
264	926	2569
265	928	2561
266	933	2562
267	937	2561
268	942	2562
269	945	2555
270	947	2547
271	948	2539
272	950	2531
273	953	2526
274	955	2518
275	957	2511
276	960	2506
277	963	2502
278	966	2497
279	972	2500
280	975	2495
281	977	2489
282	983	2491
283	988	2490
284	990	2484
285	999	2495
286	1002	2489
287	1006	2489
288	1009	2482
289	1011	2477
290	1014	2472
291	1019	2472
292	1022	2466
293	1026	2465
294	1029	2461
295	1033	2456
296	1037	2455
297	1041	2452
298	1044	2449
299	1048	2447
300	1050	2439
301	1053	2435
302	1056	2431
303	1059	2425
304	1061	2418
305	1063	2411
306	1064	2402
307	1067	2398
308	1070	2393
309	1073	2389
310	1075	2383
311	1078	2378
312	1081	2374
313	1084	2368
314	1086	2363
315	1088	2357
316	1092	2352
317	1094	2348
318	1099	2347
319	1103	2345
320	1110	2348
321	1112	2343
322	1115	2338
323	1124	2345
324	1127	2341
325	1131	2339
326	1134	2335
327	1137	2329
328	1140	2325
329	1142	2319
330	1145	2315
331	1155	2323
332	1157	2318
333	1169	2331
334	1175	2332
335	1178	2328
336	1182	2325
337	1186	2323
338	1188	2317
339	1190	2311
340	1193	2307
341	1196	2302
342	1199	2297
343	1205	2298
344	1209	2297
345	1212	2291
346	1218	2292
347	1220	2287
348	1224	2283
349	1228	2281
350	1231	2276
351	1233	2270
352	1235	2265
353	1239	2262
354	1242	2256
355	1244	2251
356	1253	2257
357	1255	2252
358	1258	2246
359	1261	2242
360	1264	2238
361	1267	2233
362	1268	2226
363	1272	2222
364	1273	2215
365	1275	2209
366	1279	2207
367	1283	2204
368	1286	2199
369	1289	2195
370	1292	2190
371	1293	2184
372	1296	2178
373	1298	2173
374	1301	2169
375	1304	2164
